Modulation,ChannelCorrelation,SNR_dB,BER,ErrorCount,BitTotal
GCCK-QPSK-4R,时不变信道,0,0.06875,110,1600
GCCK-QPSK-4R,时不变信道,1,0.025,40,1600
GCCK-QPSK-4R,时不变信道,2,0.0175,28,1600
GCCK-QPSK-4R,时不变信道,3,0.008125,13,1600
GCCK-QPSK-4R,时不变信道,4,0.00375,6,1600
GCCK-QPSK-4R,时不变信道,5,0,0,1600
GCCK-QPSK-4R,时不变信道,6,0,0,1600
GCCK-QPSK-4R,时不变信道,7,0,0,1600
GCCK-QPSK-4R,时不变信道,8,0,0,1600
GCCK-QPSK-4R,时不变信道,9,0,0,1600
GCCK-QPSK-4R,时不变信道,10,0,0,1600
GCCK-QPSK-4R,时不变信道,11,0,0,1600
GCCK-QPSK-4R,时不变信道,12,0,0,1600
GCCK-QPSK-4R,时不变信道,13,0,0,1600
GCCK-QPSK-4R,时不变信道,14,0,0,1600
GCCK-QPSK-4R,时不变信道,15,0,0,1600
GCCK-QPSK-4R,时不变信道,16,0,0,1600
GCCK-QPSK-4R,时不变信道,17,0,0,1600
GCCK-QPSK-4R,时不变信道,18,0,0,1600
GCCK-QPSK-4R,时不变信道,19,0,0,1600
GCCK-QPSK-4R,时不变信道,20,0,0,1600
GCCK-QPSK-4R,\alpha=0.9999,0,0.076875,123,1600
GCCK-QPSK-4R,\alpha=0.9999,1,0.045,72,1600
GCCK-QPSK-4R,\alpha=0.9999,2,0.00875,14,1600
GCCK-QPSK-4R,\alpha=0.9999,3,0.013125,21,1600
GCCK-QPSK-4R,\alpha=0.9999,4,0.00875,14,1600
GCCK-QPSK-4R,\alpha=0.9999,5,0.003125,5,1600
GCCK-QPSK-4R,\alpha=0.9999,6,0.000625,1,1600
GCCK-QPSK-4R,\alpha=0.9999,7,0,0,1600
GCCK-QPSK-4R,\alpha=0.9999,8,0,0,1600
GCCK-QPSK-4R,\alpha=0.9999,9,0,0,1600
GCCK-QPSK-4R,\alpha=0.9999,10,0,0,1600
GCCK-QPSK-4R,\alpha=0.9999,11,0,0,1600
GCCK-QPSK-4R,\alpha=0.9999,12,0,0,1600
GCCK-QPSK-4R,\alpha=0.9999,13,0,0,1600
GCCK-QPSK-4R,\alpha=0.9999,14,0,0,1600
GCCK-QPSK-4R,\alpha=0.9999,15,0,0,1600
GCCK-QPSK-4R,\alpha=0.9999,16,0,0,1600
GCCK-QPSK-4R,\alpha=0.9999,17,0,0,1600
GCCK-QPSK-4R,\alpha=0.9999,18,0,0,1600
GCCK-QPSK-4R,\alpha=0.9999,19,0,0,1600
GCCK-QPSK-4R,\alpha=0.9999,20,0,0,1600
GCCK-QPSK-4R,\alpha=0.9995,0,0.183125,293,1600
GCCK-QPSK-4R,\alpha=0.9995,1,0.07875,126,1600
GCCK-QPSK-4R,\alpha=0.9995,2,0.078125,125,1600
GCCK-QPSK-4R,\alpha=0.9995,3,0.064375,103,1600
GCCK-QPSK-4R,\alpha=0.9995,4,0.035,56,1600
GCCK-QPSK-4R,\alpha=0.9995,5,0.05,80,1600
GCCK-QPSK-4R,\alpha=0.9995,6,0.033125,53,1600
GCCK-QPSK-4R,\alpha=0.9995,7,0.02375,38,1600
GCCK-QPSK-4R,\alpha=0.9995,8,0.045,72,1600
GCCK-QPSK-4R,\alpha=0.9995,9,0.011875,19,1600
GCCK-QPSK-4R,\alpha=0.9995,10,0.058125,93,1600
GCCK-QPSK-4R,\alpha=0.9995,11,0.025,40,1600
GCCK-QPSK-4R,\alpha=0.9995,12,0.0075,12,1600
GCCK-QPSK-4R,\alpha=0.9995,13,0.011875,19,1600
